"PROJECT NAME","GITHUB LINK","TOTAL NUMBER OF CLASSES","LINE OF CODE","WMC","LCOM1","COB","RFC","MHF","AHF","POF","MIF","AIF","COF","Total Hidden Attribute","Total Attribute","Total Public Attribute","Total Hidden Method","Total Method Method","Total Public Method"
BlogCoreEngine,https://github.com/moritz-mm/BlogCoreEngine,25,1595,3.04,2.72,2.48,6.04,0.09210526315789473,1.0,0.4557823129251701,1.0,1.0,0.2966666666666667,24,24,0,7,76,69
Location-Scout,https://github.com/girishpatni/Location-Scout,5,345,2.0,0.0,0.4,5.0,0.3,1.0,0.8333333333333334,1.0,1.0,0.25,5,5,0,3,10,7
NetLogSystem,https://github.com/Vladimir-Novick/NetLogSystem,8,348,1.875,0.0,1.25,4.875,0.2,1.0,0.7222222222222222,1.0,1.0,0.30357142857142855,3,3,0,3,15,12
Online-Auction,https://github.com/whd18/Online-Auction,8,454,4.25,3.625,0.25,7.25,0.0,NaN,0.3880597014925373,1.0,NaN,0.03571428571428571,0,0,0,0,34,34
Reddnet,https://github.com/moritz-mm/Reddnet,25,1589,3.0,2.6,2.48,6.0,0.09333333333333334,1.0,0.45517241379310347,1.0,1.0,0.3,25,25,0,7,75,68
SiGCT,https://github.com/fabianohkd/SiGCT,81,4225,0.6296296296296297,0.4444444444444444,3.7160493827160495,3.6296296296296298,0.27450980392156865,1.0,0.5212765957446809,1.0,1.0,0.2729938271604938,2,2,0,14,51,37
SmartOffice-WebApp,https://github.com/Evelynfeifei/SmartOffice-WebApp,3,1810,3.0,0.3333333333333333,0.6666666666666666,6.0,0.0,0.8857142857142857,0.7,1.0,1.0,0.5,31,35,4,0,9,9
staff-review,https://github.com/ms853/staff-review,19,1390,2.9473684210526314,2.6842105263157894,2.789473684210526,5.947368421052632,0.10714285714285714,1.0,0.4537037037037037,1.0,1.0,0.8976608187134503,5,5,0,6,56,50
UofT-Timetable-Generator,https://github.com/EKarton/UofT-Timetable-Generator,27,3641,4.407407407407407,3.3333333333333335,2.6666666666666665,7.407407407407407,0.4789915966386555,1.0,0.5968586387434555,1.0,1.0,0.6096866096866097,21,21,0,57,119,62
volley-management,https://github.com/VolleyManagement/volley-management,426,54471,5.751173708920188,1638553.190140845,7.368544600938967,8.751173708920188,0.2975510204081633,0.9751724137931035,0.39886675824175827,0.9983700081499592,1.0,0.14055233360950015,707,725,18,729,2450,1721
